t,r_x,r_y,y_x,y_y,e_x,e_y,u_x,u_y,vx,vy,safety_viol
1,3,2,0.5,0.5,-0.5,-0.5,-0.627989313,-0.627985832,0,0,3.906549411e-08
2,4.175570505,3.902113033,0.5,0.5,-0.5,-0.5,-0.543715611,-0.543712609,-0.062798931,-0.062798583,3.906549411e-08
3,4.902113033,3.175570505,0.493720106,0.49372014,-0.493720106,-0.49372014,-0.435395069,-0.435392504,-0.110890594,-0.11088998,4.030777359e-08
4,4.902113033,0.824429496,0.482631047,0.482631143,-0.482631047,-0.482631143,-0.327815128,-0.327812964,-0.143341037,-0.143340228,4.031548696e-08
5,4.175570505,0.097886967,0.468296943,0.46829712,-0.468296943,-0.46829712,-0.231273642,-0.231271903,-0.161788441,-0.161787497,4.032564813e-08
6,3,2,0.4521181,0.452118371,-0.4521181,-0.452118371,-0.150312792,-0.150311511,-0.168736957,-0.168735933,4.033721846e-08
7,1.824429496,3.902113032,0.435244404,0.435244778,-0.435244404,-0.435244778,-0.087166261,-0.087165441,-0.166894536,-0.166893487,4.034923368e-08
8,1.097886967,3.175570505,0.418554951,0.41855543,-0.418554951,-0.41855543,-0.042950308,-0.04294991,-0.158921704,-0.158920678,4.036091250e-08
9,1.097886967,0.824429496,0.402662781,0.402663362,-0.402662781,-0.402663362,-0.017665051,-0.017664995,-0.14732456,-0.147323596,4.037172502e-08
10,1.824429495,0.097886967,0.387930325,0.387931003,-0.387930325,-0.387931003,-0.008998667,-0.008998813,-0.134358605,-0.134357732,4.038140742e-08